Hit,Text_id,Context_before,Query_item,Context_after,Tagged_context_before,Tagged_query_item,Tagged_context_after,Matchbegin_corpus_position,Matchend_corpus_position,V1,Permittee,V2,V2_type,V2_permittee_control,V2_valency,Permitter_semantics,Permittee_semantics,Com_channel,BNC_domain,Domain_use,V1_imperative,V2_length,V1_distance
2,A03,"he asked for medical help &mdash; some vitamins , eye-drops , &bquo; as I ca n't go out &equo; &mdash; and for some money . It seemed that the men pooled their money to help survive . Her mother tried to persuade the woman who had received the letters to",<<< let her talk with >>>,"this guard ; a man who was actually in touch with her husband . Perhaps he could tell how he was , or where ? She could see him through the shutters &mdash; a big man , a Berber , a kind-looking man with bright blue eyes and tattoos . But the","he_PNP asked_VVD for_PRP medical_AJ0 help_NN1 &mdash;_PUN some_DT0 vitamins_NN2 ,_PUN eye-drops_NN2 ,_PUN &bquo;_PUQ as_CJS I_PNP ca_VM0 n't_XX0 go_VVI out_AVP &equo;_PUQ &mdash;_PUN and_CJC for_PRP some_DT0 money_NN1 ._PUN It_PNP seemed_VVD that_CJT the_AT0 men_NN2 pooled_VVD their_DPS money_NN1 to_TO0 help_VVI survive_VVI ._PUN Her_DPS mother_NN1 tried_VVD to_TO0 persuade_VVI the_AT0 woman_NN1 who_PNQ had_VHD received_VVN the_AT0 letters_NN2 to_TO0",<<< let_VVI her_PNP talk_VVI with_PRP >>>,"this_DT0 guard_NN1 ;_PUN a_AT0 man_NN1 who_PNQ was_VBD actually_AV0 in_PRP touch with her_DPS husband_NN1 ._PUN Perhaps_AV0 he_PNP could_VM0 tell_VVI how_AVQ he_PNP was_VBD ,_PUN or_CJC where_AVQ ?_PUN She_PNP could_VM0 see_VVI him_PNP through_PRP the_AT0 shutters_NN2 &mdash;_PUN a_AT0 big_AJ0 man_NN1 ,_PUN a_AT0 Berber_AJ0 ,_PUN a_AT0 kind-looking_AJ0 man_NN1 with_PRP bright_AJ0 blue_AJ0 eyes_NN2 and_CJC tattoos_NN2 ._PUN But_CJC the_AT0",37083,37086,let,her,talk,verb,control,active,animate,animate,written,world_affairs,public,non-imperative,4,1
8,A04,"a few weeks after finishing this sombre painting , Rothko committed suicide . Questions and comments , feelings and comparisons kept interrupting his attempt at contemplating the work . Then , &bquo; Instead of struggling in vain to prevent them from reaching my consciousness , I stepped back , as it were , and",<<< let thoughts and feelings >>>,"come and go . I noticed their appearance and also noticed that , left alone , they disappeared too . My previous attempts at getting rid of them had had the effect of reactivating them . I was still overwhelmed by the painting , but I was now aware that","a_AT0 few_DT0 weeks_NN2 after_PRP finishing_VVG this_DT0 sombre_AJ0 painting_NN1 ,_PUN Rothko_NP0-NN1 committed_AJ0 suicide_NN1 ._PUN Questions_NN2 and_CJC comments_NN2 ,_PUN feelings_NN2 and_CJC comparisons_NN2 kept_VVD-VVN interrupting_VVG his_DPS attempt_NN1 at_PRP contemplating_VVG the_AT0 work_NN1 ._PUN Then_AV0 ,_PUN &bquo;_PUQ Instead_PRP of struggling_VVG in_AV0 vain to_TO0 prevent_VVI them_PNP from_PRP reaching_VVG my_DPS consciousness_NN1 ,_PUN I_PNP stepped_VVD back_AVP ,_PUN as_AV0 it were ,_PUN and_CJC",<<< let_VVB thoughts_NN2 and_CJC feelings_NN2 >>>,"come_VVI and_CJC go_VVI ._PUN I_PNP noticed_VVD their_DPS appearance_NN1 and_CJC also_AV0 noticed_VVN-VVD that_CJT-DT0 ,_PUN left_VVD-AJ0 alone_AJ0 ,_PUN they_PNP disappeared_VVD too_AV0 ._PUN My_DPS previous_AJ0 attempts_NN2 at_PRP getting_VVG rid_VVN of_PRF them_PNP had_VHD had_VHN the_AT0 effect_NN1 of_PRF reactivating_VVG them_PNP ._PUN I_PNP was_VBD still_AV0 overwhelmed_VVN by_PRP the_AT0 painting_NN1 ,_PUN but_CJC I_PNP was_VBD now_AV0 aware_AJ0 that_CJT",84902,84905,let,thoughts and feelings,come,verb,no control,active,animate,inanimate,written,arts,personal,non-imperative,4,3
9,A05,"&mdash; made it to Moscow four years later ; and that another French poet , Eluard , abandoned his Prague friend , the Surrealist Kalandra , to the executioner . Nowadays , people all over the world unequivocally reject the idea of gulags , yet they are still willing to",<<< let themselves be hypnotised >>>,"by totalitarian poesy and to march to new gulags to the tune of the same lyrical song piped by Eluard when he soared over Prague like the great archangel of the lyre , while the smoke of Kalandra 's body rose to the sky from the crematory chimney . Tyranny","&mdash;_PUN made_VVD it_PNP to_PRP Moscow_NP0 four_CRD years_NN2 later_AV0 ;_PUN and_CJC that_CJT another_DT0 French_AJ0-NN1 poet_NN1 ,_PUN Eluard_NP0 ,_PUN abandoned_VVD his_DPS Prague_NP0 friend_NN1 ,_PUN the_AT0 Surrealist_AJ0 Kalandra_NP0-NN1 ,_PUN to_PRP the_AT0 executioner_NN1 ._PUN Nowadays_AV0 ,_PUN people_NN0 all_AV0 over_PRP the_AT0 world_NN1 unequivocally_AV0 reject_VVB the_AT0 idea_NN1 of_PRF gulags_NN2 ,_PUN yet_AV0 they_PNP are_VBB still_AV0 willing_AJ0 to_TO0",<<< let_VVI themselves_PNX be_VBI hypnotised_VVN >>>,"by_PRP totalitarian_AJ0 poesy_NN1 and_CJC to_TO0 march_VVI to_PRP new_AJ0 gulags_NN2 to_PRP the_AT0 tune_NN1 of_PRF the_AT0 same_DT0 lyrical_AJ0 song_NN1 piped_VVN by_PRP Eluard_NP0 when_CJS he_PNP soared_VVD over_PRP-AVP Prague_NP0 like_PRP the_AT0 great_AJ0 archangel_NN1 of_PRF the_AT0 lyre_NN1 ,_PUN while_CJS the_AT0 smoke_NN1 of_PRF Kalandra_NP0 's_POS body_NN1 rose_VVD to_PRP the_AT0 sky_NN1 from_PRP the_AT0 crematory_AJ0 chimney_NN1 ._PUN Tyranny_NN1",102901,102904,let,themselves,hypnotize,verb,no control,passive,animate,animate,written,arts,personal,non-imperative,9,1
10,A05,"crew travel to a scene of carnage , guided by Carlotta , a heroine of the MPLA . When the Europeans decide to return , their guide decides to stay , and is immediately killed . &bquo; We are all culpable in Carlotta 's death , since we agreed to",<<< let her stay behind >>>,"; we could have ordered her to return . &equo; A colonial &bquo; could &equo; . Kapuscinski is soon in a still hairier place , further south , where he is told of the South African intervention . This is a scoop , and he fights his way back through","crew_NN1 travel_NN1-VVB to_PRP a_AT0 scene_NN1 of_PRF carnage_NN1 ,_PUN guided_VVN by_PRP Carlotta_NP0 ,_PUN a_AT0 heroine_NN1 of_PRF the_AT0 MPLA_NN1-NP0 ._PUN When_CJS the_AT0 Europeans_NN2 decide_VVB to_TO0 return_VVI ,_PUN their_DPS guide_NN1 decides_VVZ to_TO0 stay_VVI ,_PUN and_CJC is_VBZ immediately_AV0 killed_VVN ._PUN &bquo;_PUQ We_PNP are_VBB all_DT0 culpable_AJ0 in_PRP Carlotta_NP0 's_POS death_NN1 ,_PUN since_CJS we_PNP agreed_VVD to_TO0",<<< let_VVI her_PNP stay_VVI behind_AV0 >>>,";_PUN we_PNP could_VM0 have_VHI ordered_VVN her_PNP to_TO0 return_VVI ._PUN &equo;_PUQ A_AT0 colonial_AJ0 &bquo;_PUQ could_VM0 &equo;_PUQ ._PUN Kapuscinski_NN2 is_VBZ soon_AV0 in_PRP a_AT0 still_AV0 hairier_AJC place_NN1 ,_PUN further_AV0 south_NN1 ,_PUN where_CJS-AVQ he_PNP is_VBZ told_VVN of_PRF the_AT0 South_NP0 African_AJ0 intervention_NN1 ._PUN This_DT0 is_VBZ a_AT0 scoop_NN1 ,_PUN and_CJC he_PNP fights_VVZ his_DPS way_NN1 back_AVP through_PRP",107999,108002,let,her,stay,verb,control,active,animate,animate,written,arts,personal,non-imperative,4,1
17,A08,". You 'd have got better anyway , I told him . If you 'd gone on . But you did n't . Goldberg , pushing the hair out of his eyes with his forearm , dragged the pad towards him and wrote : Appendix on the real facts ? Or",<<< let him damn himself >>>,"with his own words ? In a hundred years ' time , I said to him , wrote Harsnet ( and Goldberg , putting the pad aside , began to type again ) , in a hundred years ' time I said to him , ( he typed ) no one","._PUN You_PNP 'd_VM0 have_VHI got_VVN better_AJC anyway_AV0 ,_PUN I_PNP told_VVD him_PNP ._PUN If_CJS you_PNP 'd_VHD gone_VVN on_AVP ._PUN But_CJC you_PNP did_VDD n't_XX0 ._PUN Goldberg_NP0 ,_PUN pushing_VVG the_AT0 hair_NN1 out_PRP of his_DPS eyes_NN2 with_PRP his_DPS forearm_NN1 ,_PUN dragged_VVD the_AT0 pad_NN1 towards_PRP him_PNP and_CJC wrote_VVD :_PUN Appendix_NN1 on_PRP the_AT0 real_AJ0 facts_NN2 ?_PUN Or_CJC",<<< let_VVB him_PNP damn_VVI himself_PNX >>>,"with_PRP his_DPS own_DT0 words_NN2 ?_PUN In_PRP a_AT0 hundred_CRD years_NN2 '_POS time_NN1 ,_PUN I_PNP said_VVD to_PRP him_PNP ,_PUN wrote_VVD Harsnet_NP0 (_PUL and_CJC Goldberg_NP0 ,_PUN putting_VVG the_AT0 pad_NN1 aside_AV0 ,_PUN began_VVD to_PRP type_NN1 again_AV0 )_PUR ,_PUN in_PRP a_AT0 hundred_CRD years_NN2 '_POS time_NN1 I_PNP said_VVD to_PRP him_PNP ,_PUN (_PUL he_PNP typed_VVD )_PUR no_PNI one",232064,232067,let,him,damn,verb,control,active,animate,animate,written,arts,personal,imperative,4,1
19,A08,"desire . Desire of Bride to be more than a bride , to be a mother too . Desire of Bachelors to be more than bachelors , to be husbands and fathers too . Hold up the glass to such viewers , wrote Harsnet ( typed Goldberg ) , and",<<< let them see themselves >>>,"in it . The bridge between the different elements that , between them , could add up to a story , is space , he wrote . Let those who will fall into that space , and fall for ever . The space is glass , he wrote . The whiteness of","desire_NN1 ._PUN Desire_NN1 of_PRF Bride_NN1-NP0 to_TO0 be_VBI more_DT0 than_CJS a_AT0 bride_NN1 ,_PUN to_TO0 be_VBI a_AT0 mother_NN1 too_AV0 ._PUN Desire_NN1 of_PRF Bachelors_NN2 to_TO0 be_VBI more_DT0 than_CJS bachelors_NN2 ,_PUN to_TO0 be_VBI husbands_NN2 and_CJC fathers_NN2 too_AV0 ._PUN Hold_VVB up_AVP the_AT0 glass_NN1 to_PRP such_DT0 viewers_NN2 ,_PUN wrote_VVD Harsnet_NP0 (_PUL typed_VVD-VVN Goldberg_NP0 )_PUR ,_PUN and_CJC",<<< let_VVB them_PNP see_VVI themselves_PNX >>>,"in_PRP it_PNP ._PUN The_AT0 bridge_NN1 between_PRP the_AT0 different_AJ0 elements_NN2 that_CJT ,_PUN between_PRP them_PNP ,_PUN could_VM0 add_VVI up_PRP to a_AT0 story_NN1 ,_PUN is_VBZ space_NN1 ,_PUN he_PNP wrote_VVD ._PUN Let_VVB those_DT0 who_PNQ will_VM0 fall_VVI into_PRP that_DT0 space_NN1 ,_PUN and_CJC fall_VVB-NN1 for_AV0 ever ._PUN The_AT0 space_NN1 is_VBZ glass_NN1 ,_PUN he_PNP wrote_VVD ._PUN The_AT0 whiteness_NN1 of_PRF",244126,244129,let,them,see,verb,unclear,active,animate,animate,written,arts,personal,non-imperative,3,1
23,A08,"take time to assimilate . Would n't be drawn . We 've known each for long enough to know that silence is better if there is nothing specific to say . Please , I said to him , no hints dropped in the course of articles on other things .",<<< Let me finish in >>>,peace . We had coffee . I showed him the contents of the Green Box . Told him there would also be something specifically for him when it was done . He nodded as though he knew . We went back in and looked some more . I explained to him,"take_VVI time_NN1 to_TO0 assimilate_VVI ._PUN Would_VM0 n't_XX0 be_VBI drawn_VVN ._PUN We_PNP 've_VHB known_VVN each_DT0 for_PRP long_AV0 enough_AV0 to_TO0 know_VVI that_CJT silence_NN1 is_VBZ better_AJC if_CJS there_EX0 is_VBZ nothing_PNI specific_AJ0 to_TO0 say_VVI ._PUN Please_AV0 ,_PUN I_PNP said_VVD to_PRP him_PNP ,_PUN no_AT0 hints_NN2 dropped_VVN-VVD in_PRP the_AT0 course_NN1 of_PRF articles_NN2 on_PRP other_AJ0 things_NN2 ._PUN",<<< Let_VVB me_PNP finish_VVI in_PRP >>>,peace_NN1 ._PUN We_PNP had_VHD coffee_NN1 ._PUN I_PNP showed_VVD him_PNP the_AT0 contents_NN2 of_PRF the_AT0 Green_AJ0 Box_NN1 ._PUN Told_VVD-VVN him_PNP there_EX0 would_VM0 also_AV0 be_VBI something_PNI specifically_AV0 for_PRP him_PNP when_CJS it_PNP was_VBD done_VDN ._PUN He_PNP nodded_VVD as_CJS though he_PNP knew_VVD ._PUN We_PNP went_VVD back_AVP in_PRP-AVP and_CJC looked_VVD some_DT0 more_DT0 ._PUN I_PNP explained_VVD to_PRP him_PNP,256768,256771,let,me,finish,verb,control,active,animate,animate,written,arts,personal,imperative,6,1
27,A0D,"on the boat . And these Italians are fearfully hot-headed . Everybody knows what foreigners are like . &equo; There was a chorus of agreement . It served to make the Finnish detective rather sharper than he might otherwise have been . &bquo; No , &equo; he said . &bquo;",<<< Let us please seek >>>,"for more stronger motives . &equo; Round the semi-circle of chairs quick looks flicked from face to face . &bquo; Yes , &equo; Sven Hjerson went on , &bquo; it is in fact , I am thinking , that all those people who might have given that not very well","on_PRP the_AT0 boat_NN1 ._PUN And_CJC these_DT0 Italians_NN2 are_VBB fearfully_AV0 hot-headed_AJ0 ._PUN Everybody_PNI knows_VVZ what_DTQ foreigners_NN2 are_VBB like_PRP ._PUN &equo;_PUQ There_EX0 was_VBD a_AT0 chorus_NN1 of_PRF agreement_NN1 ._PUN It_PNP served_VVD to_TO0 make_VVI the_AT0 Finnish_AJ0 detective_NN1 rather_AV0 sharper_AJC than_CJS he_PNP might_VM0 otherwise_AV0 have_VHI been_VBN ._PUN &bquo;_PUQ No_ITJ ,_PUN &equo;_PUQ he_PNP said_VVD ._PUN &bquo;_PUQ",<<< Let_VVB us_PNP please_VVI seek_VVI >>>,"for_PRP more_AV0 stronger_AJC motives_NN2 ._PUN &equo;_PUQ Round_PRP the_AT0 semi-circle_NN1 of_PRF chairs_NN2 quick_AJ0-AV0 looks_NN2-VVZ flicked_VVN from_PRP face_NN1 to_PRP face_NN1 ._PUN &bquo;_PUQ Yes_ITJ ,_PUN &equo;_PUQ Sven_NP0 Hjerson_NP0 went_VVD on_AVP ,_PUN &bquo;_PUQ it_PNP is_VBZ in_PRP fact_NN1 ,_PUN I_PNP am_VBB thinking_VVG ,_PUN that_CJT-DT0 all_DT0 those_DT0 people_NN0 who_PNQ might_VM0 have_VHI given_VVN that_CJT-DT0 not_XX0 very_AV0 well_AV0",320696,320699,let,us,seek,verb,control,active,animate,animate,written,imaginative,personal,imperative,4,1
28,A0D,"have it all sorted out . &equo; &bquo; Sorted out ? &equo; said Quince . He looked astonished . &bquo; We 're going to sort it out ourselves ? &equo; Bramble nodded . &bquo; We 'll sort it out , my son . In our own good time . Now",<<< let me ring Mrs >>>,"Pettifer . &equo; The 'phone rang for a very long time and when Mrs Pettifer eventually answered she sounded quite put out . &bquo; Oh , Sergeant , &equo; she said &bquo; Thank heaven it 's you . I 've got this tiresome woman here asking endless rude questions .","have_VHI it_PNP all_DT0 sorted_VVD-VVN out_AVP ._PUN &equo;_PUQ &bquo;_PUQ Sorted_VVN-VVD out_AVP ?_PUN &equo;_PUQ said_VVD Quince_NN1 ._PUN He_PNP looked_VVD astonished_AJ0 ._PUN &bquo;_PUQ We_PNP 're_VBB going_VVG to_TO0 sort_VVI it_PNP out_AVP ourselves_PNX ?_PUN &equo;_PUQ Bramble_NP0 nodded_VVD ._PUN &bquo;_PUQ We_PNP 'll_VM0 sort_VVI it_PNP out_AVP ,_PUN my_DPS son_NN1 ._PUN In_PRP our_DPS own_DT0 good_AJ0 time_NN1 ._PUN Now_AV0",<<< let_VVB me_PNP ring_VVI Mrs_NP0 >>>,"Pettifer_NP0 ._PUN &equo;_PUQ The_AT0 'phone_NN1 rang_VVD for_PRP a_AT0 very_AV0 long_AJ0 time_NN1 and_CJC when_CJS Mrs_NP0 Pettifer_NP0 eventually_AV0 answered_VVD she_PNP sounded_VVD quite_AV0 put_VVN out_AVP ._PUN &bquo;_PUQ Oh_ITJ ,_PUN Sergeant_NN1 ,_PUN &equo;_PUQ she_PNP said_VVD &bquo;_PUQ Thank_VVB heaven_NN1 it_PNP 's_VBZ you_PNP ._PUN I_PNP 've_VHB got_VVN this_DT0 tiresome_AJ0 woman_NN1 here_AV0 asking_VVG endless_AJ0 rude_AJ0 questions_NN2 ._PUN",324431,324434,let,me,ring,verb,control,active,animate,animate,written,imaginative,personal,imperative,4,1
29,A0D,", &bquo; you 've always wanted a spot of real detective work to do . So I tell you what . You get on your bike and find that old lady what were in here just now and you do n't let her out of your sight . Do n't you",<<< let her know what >>>,"you 're up to , mind . Just you do prevent any serious mischief . And I 'll do the same for the foreigners . &equo; He put down the empty tea cup with surprising force . &bquo; I do n't hold with foreigners , &equo; he exclaimed , &bquo; leastways",",_PUN &bquo;_PUQ you_PNP 've_VHB always_AV0 wanted_VVN a_AT0 spot_NN1 of_PRF real_AJ0 detective_NN1 work_NN1-VVB to_TO0 do_VDI ._PUN So_AV0 I_PNP tell_VVB you_PNP what_DTQ ._PUN You_PNP get_VVB on_PRP-AVP your_DPS bike_NN1 and_CJC find_VVB that_CJT-DT0 old_AJ0 lady_NN1 what_DTQ were_VBD in_PRP here_AV0 just_AV0 now_AV0 and_CJC you_PNP do_VDB n't_XX0 let_VVI her_PNP out_PRP of your_DPS sight_NN1 ._PUN Do_VDB n't_XX0 you_PNP",<<< let_VVI her_PNP know_VVI what_DTQ >>>,"you_PNP 're_VBB up_PRP to ,_PUN mind_NN1-VVB ._PUN Just_AV0 you_PNP do_VDB prevent_VVI any_DT0 serious_AJ0 mischief_NN1 ._PUN And_CJC I_PNP 'll_VM0 do_VDI the_AT0 same_DT0 for_PRP the_AT0 foreigners_NN2 ._PUN &equo;_PUQ He_PNP put_VVD down_AVP the_AT0 empty_AJ0 tea_NN1 cup_NN1 with_PRP surprising_AJ0 force_NN1 ._PUN &bquo;_PUQ I_PNP do_VDB n't_XX0 hold_VVI with_PRP foreigners_NN2 ,_PUN &equo;_PUQ he_PNP exclaimed_VVD ,_PUN &bquo;_PUQ leastways_NN2",324724,324727,let,her,know,verb,unclear,active,animate,animate,written,imaginative,personal,non-imperative,4,1
