Words,RawF_let,RawF_permit,ExpF_let,ExpF_permit,Prefer,Dp_word_given_con,Dp_con_given_word,Coll_strength
access,0,3,1.5,1.5,permit,-0.004,-0.501,0.904
accommodate,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
achieve,0,4,2,2,permit,-0.005,-0.501,1.206
act,0,3,1.5,1.5,permit,-0.004,-0.501,0.904
add,0,2,1,1,permit,-0.002,-0.501,0.602
adduce,0,2,1,1,permit,-0.002,-0.501,0.602
adjust,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
admit,0,3,1.5,1.5,permit,-0.004,-0.501,0.904
adopt,0,4,2,2,permit,-0.005,-0.501,1.206
advance,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
affect,1,0,0.5,0.5,let,0.001,0.5,0.301
age,1,0,0.5,0.5,let,0.001,0.5,0.301
allow,0,2,1,1,permit,-0.002,-0.501,0.602
answer,1,0,0.5,0.5,let,0.001,0.5,0.301
apologize,1,0,0.5,0.5,let,0.001,0.5,0.301
appeal,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
apply,0,8,4,4,permit,-0.01,-0.502,2.416
appoint,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
appraise,1,0,0.5,0.5,let,0.001,0.5,0.301
argue,1,1,1,1,no_preference,0,0,0.125
ask,3,1,2,2,let,0.002,0.251,0.505
assemble,0,2,1,1,permit,-0.002,-0.501,0.602
assist,1,0,0.5,0.5,let,0.001,0.5,0.301
assume,1,0,0.5,0.5,let,0.001,0.5,0.301
attack,0,2,1,1,permit,-0.002,-0.501,0.602
attend,0,3,1.5,1.5,permit,-0.004,-0.501,0.904
audit,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
avoid,0,3,1.5,1.5,permit,-0.004,-0.501,0.904
award,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
base,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
bat,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
be,44,21,32.5,32.5,let,0.028,0.184,2.603
become,4,7,5.5,5.5,permit,-0.004,-0.137,0.563
begin,3,0,1.5,1.5,let,0.004,0.501,0.904
belong,1,0,0.5,0.5,let,0.001,0.5,0.301
bend,1,0,0.5,0.5,let,0.001,0.5,0.301
bewail,1,0,0.5,0.5,let,0.001,0.5,0.301
bind,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
blossom,1,0,0.5,0.5,let,0.001,0.5,0.301
blow,1,0,0.5,0.5,let,0.001,0.5,0.301
boost,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
borrow,3,0,1.5,1.5,let,0.004,0.501,0.904
bounce,1,0,0.5,0.5,let,0.001,0.5,0.301
braid,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
break,0,2,1,1,permit,-0.002,-0.501,0.602
breed,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
bring,1,4,2.5,2.5,permit,-0.004,-0.301,0.728
browse,1,0,0.5,0.5,let,0.001,0.5,0.301
build,4,4,4,4,no_preference,0,0,0.196
buy,0,2,1,1,permit,-0.002,-0.501,0.602
bypass,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
call,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
cancel,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
capitalise,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
carry,1,9,5,5,permit,-0.01,-0.402,1.977
cast,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
cause,1,0,0.5,0.5,let,0.001,0.5,0.301
challenge,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
change,3,3,3,3,no_preference,0,0,0.183
charge,0,3,1.5,1.5,permit,-0.004,-0.501,0.904
check,0,2,1,1,permit,-0.002,-0.501,0.602
choose,3,0,1.5,1.5,let,0.004,0.501,0.904
churn,1,0,0.5,0.5,let,0.001,0.5,0.301
circulate,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
circumvent,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
cite,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
claim,0,4,2,2,permit,-0.005,-0.501,1.206
clear,1,0,0.5,0.5,let,0.001,0.5,0.301
close,1,1,1,1,no_preference,0,0,0.125
collaborate,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
collude,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
colonise,1,0,0.5,0.5,let,0.001,0.5,0.301
combine,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
come,9,2,5.5,5.5,let,0.009,0.32,1.491
comfort,1,0,0.5,0.5,let,0.001,0.5,0.301
communicate,0,2,1,1,permit,-0.002,-0.501,0.602
compare,0,3,1.5,1.5,permit,-0.004,-0.501,0.904
compete,0,2,1,1,permit,-0.002,-0.501,0.602
complete,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
comply,0,3,1.5,1.5,permit,-0.004,-0.501,0.904
comprehend,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
conceive,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
concentrate,0,2,1,1,permit,-0.002,-0.501,0.602
conclude,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
condense,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
conduct,0,2,1,1,permit,-0.002,-0.501,0.602
confine,1,0,0.5,0.5,let,0.001,0.5,0.301
confirm,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
conform,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
connect,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
consolidate,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
consummate,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
contest,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
continue,1,5,3,3,permit,-0.005,-0.335,0.963
contract,1,1,1,1,no_preference,0,0,0.125
control,3,2,2.5,2.5,let,0.001,0.1,0.301
cook,1,0,0.5,0.5,let,0.001,0.5,0.301
cream,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
create,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
damn,1,0,0.5,0.5,let,0.001,0.5,0.301
dance,1,0,0.5,0.5,let,0.001,0.5,0.301
dare,1,0,0.5,0.5,let,0.001,0.5,0.301
deal,1,1,1,1,no_preference,0,0,0.125
decide,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
declare,0,2,1,1,permit,-0.002,-0.501,0.602
defeat,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
deform,1,0,0.5,0.5,let,0.001,0.5,0.301
delegate,0,2,1,1,permit,-0.002,-0.501,0.602
delete,1,0,0.5,0.5,let,0.001,0.5,0.301
deliver,1,0,0.5,0.5,let,0.001,0.5,0.301
delve,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
demonstrate,1,0,0.5,0.5,let,0.001,0.5,0.301
denote,2,0,1,1,let,0.002,0.501,0.602
deny,1,0,0.5,0.5,let,0.001,0.5,0.301
depart,1,0,0.5,0.5,let,0.001,0.5,0.301
depend,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
derange,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
derive,0,2,1,1,permit,-0.002,-0.501,0.602
describe,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
design,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
destroy,1,1,1,1,no_preference,0,0,0.125
determine,0,2,1,1,permit,-0.002,-0.501,0.602
develop,1,3,2,2,permit,-0.002,-0.251,0.505
dictate,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
die,4,1,2.5,2.5,let,0.004,0.301,0.728
differentiate,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
digress,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
dine,0,1,0.5,0.5,permit,-0.001,-0.5,0.301
disappear,1,0,0.5,0.5,let,0.001,0.5,0.301
disband,1,0,0.5,0.5,let,0.001,0.5,0.301
disclose,0,2,1,1,permit,-0.002,-0.501,0.602
discontinue,0,3,1.5,1.5,permit,-0.004,-0.501,0.904
