Text_id,Text_types
A03,book
A04,book
A05,book
A07,book
A08,book
A0D,book
A0F,book
A0G,book
A0H,book
A0J,leaflet
A0L,book
A0M,book
A0N,book
A0P,book
A0V,other - written
A0X,other - written
A11,book
A16,magazine
A19,magazine
A1A,book
A1B,book
A1D,newspaper
A1G,newspaper
A1J,newspaper
A1Y,newspaper
A23,newspaper
A25,newspaper
A2E,newspaper
A2M,newspaper
A33,newspaper
A39,newspaper
A3L,newspaper
A3N,newspaper
A3T,newspaper
A40,newspaper
A49,newspaper
A4K,newspaper
A4N,newspaper
A57,newspaper
A5E,newspaper
A5M,newspaper
A5W,newspaper
A5Y,book
A60,book
A65,book
A67,magazine
A68,book
A69,book
A6A,book
A6D,book
A6E,book
A6J,book
A6L,book
A6M,book
A6N,book
A6T,book
A6V,book
A6Y,book
A70,other - written
A73,book
A74,book
A79,book
A7A,book
A7C,book
A7D,magazine
A7G,leaflet
A7H,book
A7K,magazine
A7L,book
A7N,other - written
A80,newspaper
A88,newspaper
A8A,newspaper
A8C,newspaper
A8D,newspaper
A8E,newspaper
A8K,newspaper
A8M,newspaper
A96,newspaper
A98,newspaper
A9F,newspaper
A9W,newspaper
AA5,newspaper
AA9,newspaper
AAK,newspaper
AAV,newspaper
AB5,book
AB9,book
ABB,book
ABD,magazine
ABE,magazine
ABG,magazine
ABH,magazine
ABJ,magazine
ABK,magazine
ABL,book
ABP,book
ABR,book
ABS,magazine
ABU,book
ABV,book
ABW,book
ABX,book
AC2,book
AC3,book
AC5,book
AC7,book
ACB,book
ACE,book
ACG,book
ACH,book
ACJ,book
ACK,book
ACV,book
ACW,book
ACY,magazine
AD2,book
AD7,book
AD9,book
ADF,book
ADK,book
ADX,book
AE7,book
AE9,book
AEA,book
AEB,book
AHG,newspaper
AHT,newspaper
AJ2,newspaper
AKD,newspaper
AKE,newspaper
AKP,newspaper
AKY,newspaper
AL1,newspaper
AL3,newspaper
ALJ,book
ALM,academic journal
ALW,academic journal
ALX,academic journal
ALY,academic journal
AM0,leaflet
AM4,book
AMK,book
AML,book
AMU,book
AMW,other - written
AMY,book
AN0,book
AN1,book
AN4,book
AN5,book
AN8,book
ANA,book
AND,book
ANH,book
ANJ,book
ANL,book
ANT,book
ANU,book
ANX,magazine
ANY,book
APD,book
APK,other - written
APL,other - written
APM,book
APN,book
APR,book
APT,book
APU,book
APW,book
APX,magazine
AR2,book
AR3,book
AR5,book
AR8,book
ARC,book
ARJ,magazine
ARS,book
AS0,book
AS3,book
ASB,book
ASD,book
ASK,book
ASW,book
ASY,book
AT3,book
AT6,book
AYJ,book
AYK,book
B07,book
B0P,book
B0S,book
B10,book
B11,book
B14,book
B1G,book
B1J,book
B1P,book
B21,book
B26,book
B2D,book
B2K,book
B2W,book
B3A,book
B3C,book
B3D,book
B71,magazine
B74,magazine
B75,magazine
B76,magazine
B78,magazine
B79,magazine
B7G,magazine
B7J,magazine
B7K,magazine
B7M,magazine
BLX,book
BM2,book
BMA,book
BME,book
BMG,book
BMH,book
BML,book
BMP,book
BN3,book
BN4,book
BN8,book
BN9,book
BNE,book
BNY,book
BP0,book
BP1,book
BP4,book
BP5,book
BP9,book
BPA,book
BPB,book
BPC,other - written
BPD,book
BPG,book
C85,book
C8A,book
C8B,book
C8F,book
C8L,book
C8M,book
C8P,book
C8U,magazine
C91,magazine
C92,magazine
C95,magazine
C97,magazine
C9A,book
C9E,magazine
C9R,book
C9S,book
CA1,book
CA3,book
CAG,magazine
CAJ,magazine
CAP,magazine
CB1,book
CB2,magazine
CB4,magazine
CB8,magazine
CBF,newspaper
CBK,book
CBP,book
CBT,book
CBU,book
CBV,book
CBW,book
CBX,book
CBY,book
CCB,book
CCC,book
CCD,book
CCU,contract
CD2,book
CDM,book
CDP,book
CDR,book
CDS,book
CE2,book
CE7,book
CE8,book
CE9,book
CEP,newspaper
CEW,book
CFE,book
CFF,book
CFH,report
CFR,leaflet
CG9,other - written
CGE,book
CHL,book
CHP,book
CJ1,newspaper
CJ4,newspaper
CJD,book
CJG,book
CJH,book
CJP,report
CJR,report
